filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
./MLForensics-farzana/FAME-ML/main.py,blacklist,B322,HIGH,HIGH,"The input method in Python 2 will read from standard input, evaluate and run the resulting string as python source code. This is similar, though in many ways worse, then using eval. On Python 2, use raw_input instead, input is safe in Python 3.",178,[178],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b322-input
./MLForensics-farzana/empirical/dataset.stats.py,blacklist,B404,LOW,HIGH,Consider possible security implications associated with subprocess module.,12,[12],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess
./MLForensics-farzana/empirical/dataset.stats.py,start_process_with_partial_path,B607,LOW,HIGH,Starting a process with a partial executable path,59,[59],https://bandit.readthedocs.io/en/latest/plugins/b607_start_process_with_partial_path.html
./MLForensics-farzana/empirical/dataset.stats.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,59,[59],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
./MLForensics-farzana/mining/git.repo.miner.py,blacklist,B404,LOW,HIGH,Consider possible security implications associated with subprocess module.,10,[10],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess
./MLForensics-farzana/mining/git.repo.miner.py,blacklist,B408,LOW,HIGH,"Using minidom to parse untrusted XML data is known to be vulnerable to XML attacks. Replace minidom with the equivalent defusedxml package, or make sure defusedxml.defuse_stdlib() is called.",15,[15],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b408-import-xml-minidom
./MLForensics-farzana/mining/git.repo.miner.py,start_process_with_partial_path,B607,LOW,HIGH,Starting a process with a partial executable path,37,[37],https://bandit.readthedocs.io/en/latest/plugins/b607_start_process_with_partial_path.html
./MLForensics-farzana/mining/git.repo.miner.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,37,[37],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
./MLForensics-farzana/mining/mining.py,blacklist,B404,LOW,HIGH,Consider possible security implications associated with subprocess module.,7,[7],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess
./MLForensics-farzana/mining/mining.py,start_process_with_partial_path,B607,LOW,HIGH,Starting a process with a partial executable path,43,[43],https://bandit.readthedocs.io/en/latest/plugins/b607_start_process_with_partial_path.html
./MLForensics-farzana/mining/mining.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,43,[43],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
./MLForensics-farzana/mining/mining.py,start_process_with_partial_path,B607,LOW,HIGH,Starting a process with a partial executable path,81,[81],https://bandit.readthedocs.io/en/latest/plugins/b607_start_process_with_partial_path.html
./MLForensics-farzana/mining/mining.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,81,[81],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
